FID,MSOA21CD,MSOA21NM,MSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,msoa21,row_count,mean_price,median_price
3620,E02003784,South Cambridgeshire 010, ,535951,255963,52.18518,-0.0128,bd4078a8-d4cc-4d84-a4d3-f50e95425f2c,E02003784,2167,497244.9907706507,579950.0
3566,E02003725,Cambridge 007, ,544152,258117,52.20245,0.107988,e439fb1c-09a9-4381-9a95-7969248cd22d,E02003725,467,470929.9357601713,475000.0
3564,E02003723,Cambridge 005, ,543059,259675,52.21673,0.092664,15dbcb49-f462-45b8-a31a-b8beb381b27d,E02003723,284,470448.59154929576,475000.0
3571,E02003731,Cambridge 013, ,546955,255318,52.17656,0.147761,1d6a7cd3-cb2f-4c4d-9edc-92acce02b38b,E02003731,644,449018.19875776395,450000.0
3627,E02003791,South Cambridgeshire 017, ,548183,247270,52.10393,0.162201,adf8b443-7d49-4591-9bd7-08823ad287eb,E02003791,1294,449931.67310664605,450000.0
3623,E02003787,South Cambridgeshire 013, ,529007,251766,52.14913,-0.11591,8c345fc4-93ce-4982-8e6f-0751dcfa32be,E02003787,458,448385.90611353714,444975.0
3624,E02003788,South Cambridgeshire 014, ,543044,251166,52.14029,0.088859,118a98c8-0bb1-4934-87e8-c4edd7955668,E02003788,1552,438975.31507731957,443975.0
3629,E02003793,South Cambridgeshire 019, ,531260,243974,52.07858,-0.086,d2746d93-5a13-43ef-85fd-bd372dabc80e,E02003793,233,453145.70815450646,440000.0
3570,E02003729,Cambridge 011, ,548564,256279,52.18477,0.171694,036526c8-acc3-4e2a-a286-3b1787073a92,E02003729,1419,412670.5461592671,440000.0
3628,E02003792,South Cambridgeshire 018, ,539943,242770,52.06564,0.040131,76ff7e7f-adbf-4f29-82ba-c0e6ca2c1024,E02003792,385,439277.1168831169,425000.0
3622,E02003786,South Cambridgeshire 012, ,546873,253045,52.15616,0.14558,d277a1f3-c9c3-4911-86ba-2485530cbb7e,E02003786,926,429788.2699784017,425000.0
6574,E02006825,East Cambridgeshire 011, ,565148,259514,52.20912,0.415627,581cc52c-de29-42ca-b96a-25861b4517d5,E02006825,947,411616.1985216473,420000.0
3568,E02003727,Cambridge 009, ,547110,258120,52.2017,0.151241,e2c4ebd1-0bc3-4535-b1f7-9921cbbce5f3,E02003727,1344,412453.6473214286,412500.0
3580,E02003740,East Cambridgeshire 009, ,556434,261768,52.2319,0.289248,16352465-915f-425c-b9ac-6d41b5f9accc,E02003740,770,401585.1675324675,400000.0
3619,E02003781,South Cambridgeshire 007, ,548997,262317,52.2389,0.180679,dc40980a-e0af-467e-94d0-9bb0eaa91ed2,E02003781,888,399256.09346846846,395000.0
3567,E02003726,Cambridge 008, ,546214,258046,52.20127,0.138108,8c44ec8b-75af-47f4-b1e5-5ad7247e42bf,E02003726,806,406884.85732009925,395000.0
6826,E02007086,Cambridge 015, ,544787,254706,52.17164,0.115817,33ee7764-0481-45e2-8697-a0e54e6d46f2,E02007086,1442,392833.3356449376,390000.0
6827,E02007087,Cambridge 014, ,545057,256823,52.19059,0.120667,a055dfbb-6c08-4e97-9fb3-08f4dc18729d,E02007087,1075,430327.81860465114,390000.0
3578,E02003738,East Cambridgeshire 007, ,564532,271210,52.31436,0.412314,f1592115-579b-4665-924a-58ef5f44b19c,E02003738,1232,399128.1956168831,389950.0
3618,E02003780,South Cambridgeshire 006, ,544266,263423,52.25009,0.111916,abcc9774-4f61-4090-bb24-805469b104f6,E02003780,2008,384924.59661354584,380000.0
3561,E02003720,Cambridge 002, ,544613,260164,52.22072,0.115603,2f523190-04b5-4cdb-bc7c-cb21d54ac68b,E02003720,949,392034.2434141201,375000.0
3565,E02003724,Cambridge 006, ,547599,259187,52.21115,0.158856,d355f309-daa5-421d-acfc-cc8e6e143576,E02003724,1014,382489.8224852071,375000.0
3569,E02003728,Cambridge 010, ,546999,256844,52.19026,0.149065,4101b2e9-1fb5-4f7d-8bc2-e090b3f3ce36,E02003728,1454,390288.17537826684,375000.0
3621,E02003785,South Cambridgeshire 011, ,553311,255906,52.18012,0.240905,2498dbbc-df69-4e05-acb2-b83d6e7463dc,E02003785,1472,407590.5230978261,375000.0
3562,E02003721,Cambridge 003, ,547080,260869,52.2264,0.151996,50b86ec0-d6c6-4c4b-b665-308929825e7a,E02003721,964,367287.8163900415,370000.0
3626,E02003790,South Cambridgeshire 016, ,559271,250072,52.12602,0.325266,2496e0fd-dbef-483f-8a29-3cefc7a04a89,E02003790,1732,397351.1056581986,365000.0
3575,E02003735,East Cambridgeshire 004, ,557957,281121,52.40532,0.320603,7892e6e9-5938-4fa0-ad4e-a221d42f627e,E02003735,1404,382683.6858974359,362500.0
6825,E02007085,South Cambridgeshire 022, ,539544,260428,52.2244,0.041557,a92426ee-f046-471a-aac4-0cddbc24092f,E02007085,1492,390094.39544235927,360000.0
3614,E02003775,South Cambridgeshire 001, ,540310,271391,52.3227,0.057319,8b2ca4dd-0206-4f87-b83b-a0dbe57cccba,E02003775,1453,371658.6338609773,360000.0
3617,E02003778,South Cambridgeshire 004, ,549487,266864,52.27961,0.18986,3c80bb68-9813-40d2-b00a-a19ba8916bc7,E02003778,1337,351874.82647718774,340000.0
3616,E02003777,South Cambridgeshire 003, ,538011,266829,52.2823,0.021742,87b189b0-302d-403d-a808-cd63b68d3451,E02003777,2198,342026.59872611467,339995.0
3579,E02003739,East Cambridgeshire 008, ,557775,268039,52.28785,0.311793,99056c6c-2c6f-44f8-90b3-4e1f60ee21a0,E02003739,1103,342462.60652765183,325000.0
6621,E02006874,South Cambridgeshire 021, ,529115,261671,52.23811,-0.11056,8901953f-a96b-4017-90db-0de98c52accf,E02006874,3417,342787.27538776706,325000.0
3573,E02003733,East Cambridgeshire 002, ,550011,283219,52.4264,0.204833,45ebac49-eb1c-4762-9d42-1960521456c8,E02003733,2646,329066.47203325777,325000.0
3615,E02003776,South Cambridgeshire 002, ,544889,268659,52.29697,0.123281,d10c5613-bc0b-4b42-8ce8-82e04ccf9437,E02003776,1208,350124.1721854305,325000.0
3625,E02003789,South Cambridgeshire 015, ,548093,249828,52.12694,0.162,916815cc-fe26-44cc-99ce-27ca8e86f296,E02003789,893,335342.7693169093,320000.0
3574,E02003734,East Cambridgeshire 003, ,554841,282458,52.41822,0.275455,4f1205a4-b583-4c74-b4c2-7f0192872f99,E02003734,2114,335860.78287606436,315000.0
3563,E02003722,Cambridge 004, ,545462,259928,52.21838,0.127921,5329148c-d3a6-4ff6-a131-a6ceba13c850,E02003722,720,335260.78472222225,300000.0
3560,E02003719,Cambridge 001, ,545892,261142,52.22917,0.134733,1f2dccba-b49d-45bb-aed1-dabf1d4478d8,E02003719,1146,317989.2914485166,300000.0
6620,E02006873,South Cambridgeshire 020, ,532312,259480,52.21766,-0.06463,18a39211-fa71-4c17-b1bb-9f528d88e0f7,E02006873,2995,332812.83973288815,300000.0
3576,E02003736,East Cambridgeshire 005, ,547556,276645,52.36801,0.165861,d74942bc-e1ed-4e1c-a5a8-ca6e971e71fe,E02003736,2825,324875.9037168142,299500.0
3577,E02003737,East Cambridgeshire 006, ,557720,275994,52.35933,0.314712,8aa20817-0c95-427a-b7f9-0f429e0a1894,E02003737,3363,283101.1052631579,269950.0
3572,E02003732,East Cambridgeshire 001, ,558133,288499,52.47154,0.326677,dd52e651-c407-40b7-b175-3e6f6d5d66b9,E02003732,2315,248563.12095032397,230000.0
